,Kod stanowiska,Data,Wartość,id_stacji,data_dodania
82,DsCzerStraza-PM10-1g,2026-05-30 11:00:00,20.8,54,2026-05-30 13:19:16.714846
83,DsCzerStraza-PM10-1g,2026-05-30 10:00:00,22.5,54,2026-05-30 13:19:16.714846
84,DsCzerStraza-PM10-1g,2026-05-30 09:00:00,17.0,54,2026-05-30 13:19:16.714846
85,DsCzerStraza-PM10-1g,2026-05-30 08:00:00,20.1,54,2026-05-30 13:19:16.714846
86,DsCzerStraza-PM10-1g,2026-05-30 07:00:00,11.9,54,2026-05-30 13:19:16.714846
87,DsCzerStraza-PM10-1g,2026-05-30 06:00:00,18.0,54,2026-05-30 13:19:16.714846
88,DsCzerStraza-PM10-1g,2026-05-30 05:00:00,12.1,54,2026-05-30 13:19:16.714846
89,DsCzerStraza-PM10-1g,2026-05-30 04:00:00,11.9,54,2026-05-30 13:19:16.714846
90,DsCzerStraza-PM10-1g,2026-05-30 03:00:00,13.5,54,2026-05-30 13:19:16.714846
91,DsCzerStraza-PM10-1g,2026-05-30 02:00:00,16.2,54,2026-05-30 13:19:16.714846
92,DsCzerStraza-PM10-1g,2026-05-30 01:00:00,11.4,54,2026-05-30 13:19:16.714846
93,DsCzerStraza-PM10-1g,2026-05-30 00:00:00,13.7,54,2026-05-30 13:19:16.714846
94,DsCzerStraza-PM10-1g,2026-05-29 23:00:00,11.5,54,2026-05-30 13:19:16.714846
95,DsCzerStraza-PM10-1g,2026-05-29 22:00:00,9.7,54,2026-05-30 13:19:16.714846
96,DsCzerStraza-PM10-1g,2026-05-29 21:00:00,12.2,54,2026-05-30 13:19:16.714846
97,DsCzerStraza-PM10-1g,2026-05-29 20:00:00,11.1,54,2026-05-30 13:19:16.714846
98,DsCzerStraza-PM10-1g,2026-05-29 19:00:00,14.2,54,2026-05-30 13:19:16.714846
99,DsCzerStraza-PM10-1g,2026-05-29 18:00:00,12.0,54,2026-05-30 13:19:16.714846
100,DsDziePilsud-PM10-1g,2026-05-30 13:00:00,,101,2026-05-30 13:19:16.750268
101,DsDziePilsud-PM10-1g,2026-05-30 12:00:00,17.3,101,2026-05-30 13:19:16.750268
102,DsDziePilsud-PM10-1g,2026-05-30 11:00:00,10.8,101,2026-05-30 13:19:16.750268
103,DsDziePilsud-PM10-1g,2026-05-30 10:00:00,12.8,101,2026-05-30 13:19:16.750268
104,DsDziePilsud-PM10-1g,2026-05-30 09:00:00,12.7,101,2026-05-30 13:19:16.750268
105,DsDziePilsud-PM10-1g,2026-05-30 08:00:00,12.3,101,2026-05-30 13:19:16.750268
106,DsDziePilsud-PM10-1g,2026-05-30 07:00:00,16.2,101,2026-05-30 13:19:16.750268
107,DsDziePilsud-PM10-1g,2026-05-30 06:00:00,10.5,101,2026-05-30 13:19:16.750268
108,DsDziePilsud-PM10-1g,2026-05-30 05:00:00,10.1,101,2026-05-30 13:19:16.750268
109,DsDziePilsud-PM10-1g,2026-05-30 04:00:00,19.0,101,2026-05-30 13:19:16.750268
110,DsDziePilsud-PM10-1g,2026-05-30 03:00:00,10.2,101,2026-05-30 13:19:16.750268
111,DsDziePilsud-PM10-1g,2026-05-30 02:00:00,14.4,101,2026-05-30 13:19:16.750268
112,DsDziePilsud-PM10-1g,2026-05-30 01:00:00,14.8,101,2026-05-30 13:19:16.750268
113,DsDziePilsud-PM10-1g,2026-05-30 00:00:00,20.4,101,2026-05-30 13:19:16.750268
114,DsDziePilsud-PM10-1g,2026-05-29 23:00:00,24.6,101,2026-05-30 13:19:16.750268
115,DsDziePilsud-PM10-1g,2026-05-29 22:00:00,24.3,101,2026-05-30 13:19:16.750268
116,DsDziePilsud-PM10-1g,2026-05-29 21:00:00,20.3,101,2026-05-30 13:19:16.750268
117,DsDziePilsud-PM10-1g,2026-05-29 20:00:00,13.2,101,2026-05-30 13:19:16.750268
118,DsDziePilsud-PM10-1g,2026-05-29 19:00:00,13.5,101,2026-05-30 13:19:16.750268
119,DsDziePilsud-PM10-1g,2026-05-29 18:00:00,16.1,101,2026-05-30 13:19:16.750268
120,DsKlodzSzkol-NO-1g,2026-05-30 13:00:00,0.8,220,2026-05-30 13:19:16.786151
121,DsKlodzSzkol-NO-1g,2026-05-30 12:00:00,1.3,220,2026-05-30 13:19:16.786151
122,DsKlodzSzkol-NO-1g,2026-05-30 11:00:00,1.5,220,2026-05-30 13:19:16.786151
123,DsKlodzSzkol-NO-1g,2026-05-30 10:00:00,3.2,220,2026-05-30 13:19:16.786151
124,DsKlodzSzkol-NO-1g,2026-05-30 09:00:00,1.5,220,2026-05-30 13:19:16.786151
125,DsKlodzSzkol-NO-1g,2026-05-30 08:00:00,1.7,220,2026-05-30 13:19:16.786151
126,DsKlodzSzkol-NO-1g,2026-05-30 07:00:00,1.4,220,2026-05-30 13:19:16.786151
127,DsKlodzSzkol-NO-1g,2026-05-30 06:00:00,0.9,220,2026-05-30 13:19:16.786151
128,DsKlodzSzkol-NO-1g,2026-05-30 05:00:00,1.1,220,2026-05-30 13:19:16.786151
129,DsKlodzSzkol-NO-1g,2026-05-30 04:00:00,0.8,220,2026-05-30 13:19:16.786151
130,DsKlodzSzkol-NO-1g,2026-05-30 03:00:00,0.7,220,2026-05-30 13:19:16.786151
131,DsKlodzSzkol-NO-1g,2026-05-30 02:00:00,1.0,220,2026-05-30 13:19:16.786151
132,DsKlodzSzkol-NO-1g,2026-05-30 01:00:00,1.0,220,2026-05-30 13:19:16.786151
133,DsKlodzSzkol-NO-1g,2026-05-30 00:00:00,1.0,220,2026-05-30 13:19:16.786151
134,DsKlodzSzkol-NO-1g,2026-05-29 23:00:00,1.1,220,2026-05-30 13:19:16.786151
135,DsKlodzSzkol-NO-1g,2026-05-29 22:00:00,0.9,220,2026-05-30 13:19:16.786151
136,DsKlodzSzkol-NO-1g,2026-05-29 21:00:00,0.8,220,2026-05-30 13:19:16.786151
137,DsKlodzSzkol-NO-1g,2026-05-29 20:00:00,0.7,220,2026-05-30 13:19:16.786151
