Kod stanowiska,Data,Wartość,id_stanowisk
DsLegAlRzecz-NO2-1g,2026-08-31 21:00:00,52.8,291
DsLegAlRzecz-NO2-1g,2026-08-31 20:00:00,22.9,291
DsLegAlRzecz-NO2-1g,2026-08-31 19:00:00,12.1,291
DsLegAlRzecz-NO2-1g,2026-08-31 18:00:00,7.5,291
DsLegAlRzecz-NO2-1g,2026-08-31 17:00:00,8.1,291
DsLegAlRzecz-NO2-1g,2026-08-31 16:00:00,9.8,291
DsLegAlRzecz-NO2-1g,2026-08-31 15:00:00,8.2,291
DsLegAlRzecz-NO2-1g,2026-08-31 14:00:00,9.2,291
DsLegAlRzecz-NO2-1g,2026-08-31 13:00:00,10.2,291
DsLegAlRzecz-NO2-1g,2026-08-31 12:00:00,31.2,291
DsLegAlRzecz-NO2-1g,2026-08-31 11:00:00,26.9,291
DsLegAlRzecz-NO2-1g,2026-08-31 10:00:00,20.6,291
DsLegAlRzecz-NO2-1g,2026-08-31 09:00:00,19.5,291
DsLegAlRzecz-NO2-1g,2026-08-31 08:00:00,23.6,291
DsLegAlRzecz-NO2-1g,2026-08-31 07:00:00,25.4,291
DsLegAlRzecz-NO2-1g,2026-08-31 06:00:00,27.5,291
DsLegAlRzecz-NO2-1g,2026-08-31 05:00:00,23.6,291
DsLegAlRzecz-NOx-1g,2026-09-01 00:00:00,4.9,292
DsLegAlRzecz-NOx-1g,2026-08-31 23:00:00,15.6,292
DsLegAlRzecz-NOx-1g,2026-08-31 22:00:00,44.2,292
DsLegAlRzecz-NOx-1g,2026-08-31 21:00:00,72.6,292
DsLegAlRzecz-NOx-1g,2026-08-31 20:00:00,25.4,292
DsLegAlRzecz-NOx-1g,2026-08-31 19:00:00,14.0,292
DsLegAlRzecz-NOx-1g,2026-08-31 18:00:00,9.4,292
DsLegAlRzecz-NOx-1g,2026-08-31 17:00:00,10.4,292
DsLegAlRzecz-NOx-1g,2026-08-31 16:00:00,12.2,292
DsLegAlRzecz-NOx-1g,2026-08-31 15:00:00,10.7,292
DsLegAlRzecz-NOx-1g,2026-08-31 14:00:00,12.0,292
DsLegAlRzecz-NOx-1g,2026-08-31 13:00:00,12.2,292
DsLegAlRzecz-NOx-1g,2026-08-31 12:00:00,42.3,292
DsLegAlRzecz-NOx-1g,2026-08-31 11:00:00,41.1,292
DsLegAlRzecz-NOx-1g,2026-08-31 10:00:00,27.1,292
DsLegAlRzecz-NOx-1g,2026-08-31 09:00:00,25.5,292
DsLegAlRzecz-NOx-1g,2026-08-31 08:00:00,32.7,292
DsLegAlRzecz-NOx-1g,2026-08-31 07:00:00,34.2,292
DsLegAlRzecz-NOx-1g,2026-08-31 06:00:00,30.8,292
DsLegAlRzecz-NOx-1g,2026-08-31 05:00:00,26.3,292
DsLegAlRzecz-O3-1g,2026-09-01 00:00:00,75.5,293
DsLegAlRzecz-O3-1g,2026-08-31 23:00:00,64.4,293
DsLegAlRzecz-O3-1g,2026-08-31 22:00:00,38.8,293
DsLegAlRzecz-O3-1g,2026-08-31 21:00:00,28.0,293
DsLegAlRzecz-O3-1g,2026-08-31 20:00:00,69.0,293
DsLegAlRzecz-O3-1g,2026-08-31 19:00:00,85.4,293
DsLegAlRzecz-O3-1g,2026-08-31 18:00:00,92.2,293
DsLegAlRzecz-O3-1g,2026-08-31 17:00:00,90.5,293
DsLegAlRzecz-O3-1g,2026-08-31 16:00:00,80.9,293
DsLegAlRzecz-O3-1g,2026-08-31 15:00:00,78.1,293
DsLegAlRzecz-O3-1g,2026-08-31 14:00:00,75.2,293
DsLegAlRzecz-O3-1g,2026-08-31 13:00:00,67.5,293
DsLegAlRzecz-O3-1g,2026-08-31 12:00:00,31.8,293
DsLegAlRzecz-O3-1g,2026-08-31 11:00:00,23.4,293
DsLegAlRzecz-O3-1g,2026-08-31 10:00:00,36.1,293
DsLegAlRzecz-O3-1g,2026-08-31 09:00:00,41.3,293
DsLegAlRzecz-O3-1g,2026-08-31 08:00:00,31.4,293
DsLegAlRzecz-O3-1g,2026-08-31 07:00:00,18.1,293
DsLegAlRzecz-O3-1g,2026-08-31 06:00:00,15.7,293
DsLegAlRzecz-O3-1g,2026-08-31 05:00:00,19.4,293
DsLegAlRzecz-SO2-1g,2026-09-01 00:00:00,10.4,297
DsLegAlRzecz-SO2-1g,2026-08-31 23:00:00,9.4,297
DsLegAlRzecz-SO2-1g,2026-08-31 22:00:00,9.4,297
DsLegAlRzecz-SO2-1g,2026-08-31 21:00:00,9.5,297
DsLegAlRzecz-SO2-1g,2026-08-31 20:00:00,13.1,297
DsLegAlRzecz-SO2-1g,2026-08-31 19:00:00,10.1,297
DsLegAlRzecz-SO2-1g,2026-08-31 18:00:00,9.3,297
DsLegAlRzecz-SO2-1g,2026-08-31 17:00:00,8.8,297
DsLegAlRzecz-SO2-1g,2026-08-31 16:00:00,8.0,297
DsLegAlRzecz-SO2-1g,2026-08-31 15:00:00,8.5,297
